z_mm,volume_m3,F_b_N,CoB_x_m,CoB_y_m,CoB_z_m
62.5,0.0018526074202814098,18.174078792960632,3.4873907650093793e-06,-0.5344847478798811,-0.025206638715603105
63.0,0.0017976093420792119,17.63454764579707,1.7032156146844553e-06,-0.5332500690284837,-0.025477441404102144
63.5,0.0017427574754455416,17.096450834120766,-7.081835334649379e-07,-0.531944760897782,-0.02577622263723647
64.0,0.001688235457041445,16.561589833576576,1.0388747006723811e-06,-0.5305734691886527,-0.026100110812576325
64.5,0.0016335715039473815,16.025336453723813,1.1970500192170637e-05,-0.5290010896294208,-0.026445026846655895
65.0,0.0015801095338136243,15.500874526711653,1.246712396053651e-05,-0.5274767643339018,-0.026831053705115356
65.5,0.0015278267896108326,14.98798080608227,5.410519810223287e-06,-0.5259800355947103,-0.027258710193303528
66.0,0.0014756795616021074,14.476416499316676,3.359974189642955e-06,-0.5243070342645036,-0.027717376087287398
66.5,0.0002665979620782744,2.615326007987872,4.547615087387062e-05,-0.294246202644083,-0.12121921308509445
67.0,0.0002662824456756557,2.6122307920781824,4.533723477711435e-05,-0.2942074781469074,-0.12087329584553222
67.5,0.0013224612549647212,12.973344911203915,-6.821158395990009e-07,-0.5186545615196432,-0.029353133038421686
68.0,0.0002656513618626738,2.6060398598728307,4.507918034665588e-05,-0.2941296968370043,-0.12018068731362838
68.5,0.0002653359011659099,2.6029451904375764,4.49165997319822e-05,-0.2940907572751399,-0.11983396071927457
69.0,0.0011745276226616823,11.522115978311104,4.78593882155431e-06,-0.5118187325708152,-0.031455010501428675
69.5,0.0011404411171007675,11.187727358758531,-0.00023219360679382266,-0.5100201318885298,-0.03234195115520993
70.0,0.001077425201956651,10.569541231194748,3.764042939720098e-05,-0.5064197803991857,-0.033188043236751716
70.5,0.0010324928623875627,10.12875498002199,2.3685357291431045e-05,-0.5032224171833027,-0.03415399449567025
71.0,0.0009690575530808923,9.506454595723554,0.0005002126379297054,-0.501162363412753,-0.034873402073499135
71.5,0.0009418530616835904,9.239578535116022,3.5341343954152966e-05,-0.49651040360516097,-0.03638101629797105
72.0,0.0008994716961555041,8.823817339285496,5.73845493205424e-06,-0.49339676019494977,-0.03763376779636205
72.5,0.0008559655998539479,8.39702253456723,2.4537082660649463e-05,-0.4890305092364801,-0.03900912273930724
73.0,0.0008146203910433394,7.9914260361351594,1.1879117207771943e-05,-0.48496081228431814,-0.040496634965541164
73.5,0.0007734133835473152,7.587185292599163,2.586844565911637e-05,-0.4801807063992698,-0.042126327098050094
74.0,0.0007346484766068259,7.206901555512962,-6.189539831327964e-06,-0.4755157138916799,-0.043888235700069125
74.5,0.0006942342090112156,6.810437590400025,4.801844958037575e-05,-0.4693827633513009,-0.04583604363841826
75.0,0.0006603791804068183,6.478319759790888,-3.678259327786291e-05,-0.46490842440213676,-0.047850349057008565
75.5,0.0006237570985167398,6.119057136449218,-2.4060295533126796e-05,-0.4587363853376767,-0.050123451408095904
76.0,0.0005914549714161717,5.802173269592645,-6.0836088731742106e-05,-0.45380605987586586,-0.05246870003862406
76.5,0.0005562008309901266,5.456330152013143,-3.521691402177232e-05,-0.44417455320317367,-0.055182983304583356
77.0,0.0005235984094766503,5.136500396965939,-3.6652839619146385e-06,-0.4354765394060114,-0.05803363677097401
77.5,0.0004929871935498781,4.836204368724305,1.842218189753222e-05,-0.4272827442506963,-0.06108571729775719
78.0,0.00025934110801885445,2.5441362696649623,4.218631393618966e-05,-0.2933317265934229,-0.11319486254982798
78.5,0.0002590255837057724,2.5410409761536275,4.204283959654326e-05,-0.2932907942857749,-0.11284265275878749
79.0,0.0004126215090159096,4.047817003446073,4.558097938234002e-05,-0.3984723996067427,-0.0713135006037208
79.5,0.00025839456522222054,2.5348506848299834,4.174223007112289e-05,-0.2932086641335346,-0.11213736571582379
80.0,0.00025807904578109005,2.5317554391124935,4.159565044213316e-05,-0.2931674368050859,-0.11178429401241893
85.0,0.0002549238977489507,2.5008034369172063,4.009031524983858e-05,-0.29274960421975027,-0.10823749551777033
90.0,0.00025176873551704596,2.469851295422221,3.855352147004323e-05,-0.2923212824746965,-0.10466071877127679
